ytid,start_s,end_s,filename,status,error
-VclCul6FrI,80,90,[-VclCul6FrI]-[80-90].wav,ok,
-W5c6CeUMPE,40,50,[-W5c6CeUMPE]-[40-50].wav,ok,
-Vo4CAMX26U,30,40,[-Vo4CAMX26U]-[30-40].wav,ok,
-UuEBhule84,350,360,[-UuEBhule84]-[350-360].wav,ok,
-WvVG0wHcTc,310,320,[-WvVG0wHcTc]-[310-320].wav,ok,
-XN0NtrnfMY,30,40,[-XN0NtrnfMY]-[30-40].wav,ok,
-XkbErI_7EU,50,60,[-XkbErI_7EU]-[50-60].wav,ok,
-YIT4HBM__g,30,40,[-YIT4HBM__g]-[30-40].wav,ok,
-ZHpNr_KRXU,30,40,[-ZHpNr_KRXU]-[30-40].wav,ok,
-bgHkxwoliw,30,40,[-bgHkxwoliw]-[30-40].wav,ok,
-_6RxZyi30Q,70,80,[-_6RxZyi30Q]-[70-80].wav,ok,
-_OzT7Xyvok,30,40,[-_OzT7Xyvok]-[30-40].wav,ok,
-M-6VinyMiY,30,40,[-M-6VinyMiY]-[30-40].wav,ok,
-e4wXAy1iVo,0,10,[-e4wXAy1iVo]-[0-10].wav,ok,
-OAyRsvFGgc,30,40,[-OAyRsvFGgc]-[30-40].wav,ok,
-dVgUSrR8g4,30,40,[-dVgUSrR8g4]-[30-40].wav,ok,
-cQ-jUTEgck,30,40,[-cQ-jUTEgck]-[30-40].wav,ok,
-f6s6kQEHFY,0,10,[-f6s6kQEHFY]-[0-10].wav,ok,
-kpR93atgd8,30,40,[-kpR93atgd8]-[30-40].wav,failed,ERROR: [youtube] -kpR93atgd8: Video unavailable
-fxh7jAJR8U,70,80,[-fxh7jAJR8U]-[70-80].wav,ok,
-hYRFCQdbLg,30,40,[-hYRFCQdbLg]-[30-40].wav,ok,
-hSMzrWZCAE,30,40,[-hSMzrWZCAE]-[30-40].wav,ok,
-SWaCArvQug,21,31,[-SWaCArvQug]-[21-31].wav,ok,
-i9gpG3vPwA,30,40,[-i9gpG3vPwA]-[30-40].wav,ok,
-i9uQMysy_A,80,90,[-i9uQMysy_A]-[80-90].wav,ok,
-m5ZlWziIeA,200,210,[-m5ZlWziIeA]-[200-210].wav,ok,
-m9pH0WXQto,110,120,[-m9pH0WXQto]-[110-120].wav,ok,
-mA_bqD1tgU,30,40,[-mA_bqD1tgU]-[30-40].wav,ok,
-lPXTBXa0tE,30,40,[-lPXTBXa0tE]-[30-40].wav,ok,
-nlkWWphiaM,30,40,[-nlkWWphiaM]-[30-40].wav,ok,
-oP-XX28B0s,30,40,[-oP-XX28B0s]-[30-40].wav,ok,
-mB_XLq6g1g,30,40,[-mB_XLq6g1g]-[30-40].wav,ok,
-pUfYFcsgG4,0,10,[-pUfYFcsgG4]-[0-10].wav,ok,
-YATTKBtmRA,190,200,[-YATTKBtmRA]-[190-200].wav,ok,
-sevczF5etI,30,40,[-sevczF5etI]-[30-40].wav,failed,ERROR: [youtube] -sevczF5etI: This video is unavailable
-qcTD2o6I9s,30,40,[-qcTD2o6I9s]-[30-40].wav,ok,
-cLzki-B06o,30,40,[-cLzki-B06o]-[30-40].wav,ok,
-rAhS48FkYw,30,40,[-rAhS48FkYw]-[30-40].wav,ok,
-r7iz-9v9bA,30,40,[-r7iz-9v9bA]-[30-40].wav,ok,
-tKZOl4q1Kw,20,30,[-tKZOl4q1Kw]-[20-30].wav,ok,
-r2-9oyIzkQ,30,40,[-r2-9oyIzkQ]-[30-40].wav,ok,
-tmY1GEH3_Y,30,40,[-tmY1GEH3_Y]-[30-40].wav,ok,
-w4HLksto_k,30,40,[-w4HLksto_k]-[30-40].wav,ok,
-tpq_bzSKes,10,20,[-tpq_bzSKes]-[10-20].wav,ok,
-w8maIWtnUk,30,40,[-w8maIWtnUk]-[30-40].wav,ok,
-jpbCWcz2pk,30,40,[-jpbCWcz2pk]-[30-40].wav,ok,
-v5hgCh3M2w,30,40,[-v5hgCh3M2w]-[30-40].wav,ok,
00M9FhCet6s,100,110,[00M9FhCet6s]-[100-110].wav,failed,ERROR: [youtube] 00M9FhCet6s: This video is not available
-wymN80CiYU,130,140,[-wymN80CiYU]-[130-140].wav,ok,
-wVWjl9Kq6U,240,250,[-wVWjl9Kq6U]-[240-250].wav,ok,
-zOybsEdM5E,100,110,[-zOybsEdM5E]-[100-110].wav,ok,
-zA6LL78KYU,120,130,[-zA6LL78KYU]-[120-130].wav,ok,
03frQGyrgQ4,30,40,[03frQGyrgQ4]-[30-40].wav,failed,ERROR: [youtube] 03frQGyrgQ4: Private video
01PzcPKT3_E,30,40,[01PzcPKT3_E]-[30-40].wav,ok,
0298WjE3_tk,20,30,[0298WjE3_tk]-[20-30].wav,ok,
01hjVJN9xCg,30,40,[01hjVJN9xCg]-[30-40].wav,ok,
-sRFfU8k0Zs,90,100,[-sRFfU8k0Zs]-[90-100].wav,ok,
02Qntw26enM,90,100,[02Qntw26enM]-[90-100].wav,ok,
03z0rpIkm5g,30,40,[03z0rpIkm5g]-[30-40].wav,ok,
04NjXsLyCl4,30,40,[04NjXsLyCl4]-[30-40].wav,ok,
05JAmKFVy44,20,30,[05JAmKFVy44]-[20-30].wav,ok,
06Brdf83RZE,30,40,[06Brdf83RZE]-[30-40].wav,ok,
-f1DNyngKVY,30,40,[-f1DNyngKVY]-[30-40].wav,ok,
07-3grCQ8EU,30,40,[07-3grCQ8EU]-[30-40].wav,ok,
07FxCXxknY4,30,40,[07FxCXxknY4]-[30-40].wav,ok,
06IU9WsEp3s,130,140,[06IU9WsEp3s]-[130-140].wav,ok,
-eDAoheZrY8,30,40,[-eDAoheZrY8]-[30-40].wav,ok,
07-vpXo91XM,70,80,[07-vpXo91XM]-[70-80].wav,ok,
07mS0mSTDjY,30,40,[07mS0mSTDjY]-[30-40].wav,ok,
-uaTK8sa5Ms,10,20,[-uaTK8sa5Ms]-[10-20].wav,ok,
08mf5GxT820,30,40,[08mf5GxT820]-[30-40].wav,ok,
0AhX-ReXovI,120,130,[0AhX-ReXovI]-[120-130].wav,failed,ERROR: [youtube] 0AhX-ReXovI: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube
09lQmg2wvsY,100,110,[09lQmg2wvsY]-[100-110].wav,ok,
07xGXxIHOL4,110,120,[07xGXxIHOL4]-[110-120].wav,ok,
0ADP-O_V3vA,30,40,[0ADP-O_V3vA]-[30-40].wav,ok,
08u-jdwjM74,300,310,[08u-jdwjM74]-[300-310].wav,ok,
0AGHo8V8HpM,130,140,[0AGHo8V8HpM]-[130-140].wav,ok,
0DYH0sqDXB8,30,40,[0DYH0sqDXB8]-[30-40].wav,ok,
0BFauf6TGGU,0,10,[0BFauf6TGGU]-[0-10].wav,ok,
0DizopdPMBw,30,40,[0DizopdPMBw]-[30-40].wav,ok,
-o0ZtQIkM60,30,40,[-o0ZtQIkM60]-[30-40].wav,ok,
0EOQco76eXQ,30,40,[0EOQco76eXQ]-[30-40].wav,ok,
0J_2K1Gvruk,30,40,[0J_2K1Gvruk]-[30-40].wav,failed,ERROR: [youtube] 0J_2K1Gvruk: Private video
0EvpBtracsk,30,40,[0EvpBtracsk]-[30-40].wav,ok,
0F-Z0zF1504,30,40,[0F-Z0zF1504]-[30-40].wav,ok,
0HXYdGGKV2k,30,40,[0HXYdGGKV2k]-[30-40].wav,ok,
0Gxn9FtaJFc,30,40,[0Gxn9FtaJFc]-[30-40].wav,ok,
0H3FAoDgzhI,30,40,[0H3FAoDgzhI]-[30-40].wav,ok,
0KCVgexi4yU,30,40,[0KCVgexi4yU]-[30-40].wav,failed,ERROR: [youtube] 0KCVgexi4yU: This video is not available
0ISHZQJdeSw,30,40,[0ISHZQJdeSw]-[30-40].wav,ok,
0J_TdiZ3TKA,30,40,[0J_TdiZ3TKA]-[30-40].wav,ok,
0JbGxIR8JTk,200,210,[0JbGxIR8JTk]-[200-210].wav,ok,
0K-zyeLuKho,30,40,[0K-zyeLuKho]-[30-40].wav,ok,
-w12aSkQ9No,30,40,[-w12aSkQ9No]-[30-40].wav,ok,
0LLlcPiatiU,210,220,[0LLlcPiatiU]-[210-220].wav,failed,ERROR: [youtube] 0LLlcPiatiU: This video is not available
0L2ndtt60Q8,30,40,[0L2ndtt60Q8]-[30-40].wav,ok,
0LE6Ll1rVlg,30,40,[0LE6Ll1rVlg]-[30-40].wav,ok,
0MzrXd8CUCg,30,40,[0MzrXd8CUCg]-[30-40].wav,ok,
0M7nETLOsKQ,30,40,[0M7nETLOsKQ]-[30-40].wav,ok,
0L3vcdzQPPU,30,40,[0L3vcdzQPPU]-[30-40].wav,ok,
0NTzOtVmoiU,60,70,[0NTzOtVmoiU]-[60-70].wav,ok,
0OY8XXZ98rw,30,40,[0OY8XXZ98rw]-[30-40].wav,ok,
0OYlHvyfNk4,130,140,[0OYlHvyfNk4]-[130-140].wav,ok,
0NZY0GHQBP0,240,250,[0NZY0GHQBP0]-[240-250].wav,ok,
-taO6N-rxv4,30,40,[-taO6N-rxv4]-[30-40].wav,ok,
0-7PyzhzuYQ,30,40,[0-7PyzhzuYQ]-[30-40].wav,ok,
0Olm321vgk8,30,40,[0Olm321vgk8]-[30-40].wav,ok,
0ONdm4sW47c,30,40,[0ONdm4sW47c]-[30-40].wav,ok,
0OhtODbKajw,350,360,[0OhtODbKajw]-[350-360].wav,ok,
0QYNC7J05XI,30,40,[0QYNC7J05XI]-[30-40].wav,failed,ERROR: [youtube] 0QYNC7J05XI: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube
0RcMzUdXDRQ,30,40,[0RcMzUdXDRQ]-[30-40].wav,failed,ERROR: [youtube] 0RcMzUdXDRQ: This video is not available
0RDz0rLakwc,30,40,[0RDz0rLakwc]-[30-40].wav,ok,
0QAaln-hjPw,30,40,[0QAaln-hjPw]-[30-40].wav,ok,
0Q1JLNfm8oU,30,40,[0Q1JLNfm8oU]-[30-40].wav,ok,
0VsjSa1X7iA,30,40,[0VsjSa1X7iA]-[30-40].wav,failed,ERROR: [youtube] 0VsjSa1X7iA: Private video
0RgGrVklaao,150,160,[0RgGrVklaao]-[150-160].wav,ok,
0S5zWt91Bwo,30,40,[0S5zWt91Bwo]-[30-40].wav,ok,
0RpkkfkUBRU,10,20,[0RpkkfkUBRU]-[10-20].wav,ok,
0VjPCd62oKg,100,110,[0VjPCd62oKg]-[100-110].wav,failed,ERROR: [youtube] 0VjPCd62oKg: This video is not available
0TV9zvfwFhs,30,40,[0TV9zvfwFhs]-[30-40].wav,ok,
0Ubu4BqSWmU,30,40,[0Ubu4BqSWmU]-[30-40].wav,ok,
0SnjS2w_c80,520,530,[0SnjS2w_c80]-[520-530].wav,ok,
05OJDYeHLMc,30,40,[05OJDYeHLMc]-[30-40].wav,ok,
0XxinBtKouQ,30,40,[0XxinBtKouQ]-[30-40].wav,ok,
0Wdh45yt7tY,50,60,[0Wdh45yt7tY]-[50-60].wav,ok,
0ZNFJz-eZTU,120,130,[0ZNFJz-eZTU]-[120-130].wav,ok,
0ZXWSO_Y2C0,160,170,[0ZXWSO_Y2C0]-[160-170].wav,ok,
0_QcatLmg7c,30,40,[0_QcatLmg7c]-[30-40].wav,ok,
0_XItMAYkwc,30,40,[0_XItMAYkwc]-[30-40].wav,ok,
0a6uLBmqZgA,30,40,[0a6uLBmqZgA]-[30-40].wav,ok,
0_hH79HnEdo,30,40,[0_hH79HnEdo]-[30-40].wav,ok,
0PMFAO4TIU4,30,40,[0PMFAO4TIU4]-[30-40].wav,ok,
0abzD7hBTRk,30,40,[0abzD7hBTRk]-[30-40].wav,ok,
0bvPjMQ_WbE,30,40,[0bvPjMQ_WbE]-[30-40].wav,ok,
0bRUkLsttto,30,40,[0bRUkLsttto]-[30-40].wav,ok,
0c1YU_VtFRE,180,190,[0c1YU_VtFRE]-[180-190].wav,ok,
0ewQiU3q5jM,30,40,[0ewQiU3q5jM]-[30-40].wav,ok,
0cNYPgD6cEA,30,40,[0cNYPgD6cEA]-[30-40].wav,ok,
0ewWspUqB6Y,430,440,[0ewWspUqB6Y]-[430-440].wav,failed,ERROR: [youtube] 0ewWspUqB6Y: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
0i8VM_EooCs,30,40,[0i8VM_EooCs]-[30-40].wav,failed,ERROR: [youtube] 0i8VM_EooCs: Video unavailable
0fqtA_ZBn_8,30,40,[0fqtA_ZBn_8]-[30-40].wav,ok,
0fiOM---7QI,140,150,[0fiOM---7QI]-[140-150].wav,ok,
0hfU27A6tus,70,80,[0hfU27A6tus]-[70-80].wav,ok,
0khKvVDyYV4,240,250,[0khKvVDyYV4]-[240-250].wav,failed,ERROR: [youtube] 0khKvVDyYV4: This video is unavailable
0hw_BB4QN34,220,230,[0hw_BB4QN34]-[220-230].wav,ok,
0jFQ21A6GRA,30,40,[0jFQ21A6GRA]-[30-40].wav,ok,
0kQD1P0_KUs,30,40,[0kQD1P0_KUs]-[30-40].wav,failed,ERROR: [youtube] 0kQD1P0_KUs: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
0kQjfwXjFuY,30,40,[0kQjfwXjFuY]-[30-40].wav,ok,
0m9-5BkL4Mc,30,40,[0m9-5BkL4Mc]-[30-40].wav,failed,ERROR: [youtube] 0m9-5BkL4Mc: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
0lIETNZ_7sg,30,40,[0lIETNZ_7sg]-[30-40].wav,ok,
0nk7utNkHOY,190,200,[0nk7utNkHOY]-[190-200].wav,failed,ERROR: [youtube] 0nk7utNkHOY: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
0nNmbkU8GBI,100,110,[0nNmbkU8GBI]-[100-110].wav,ok,
0pewITE1550,30,40,[0pewITE1550]-[30-40].wav,failed,ERROR: [youtube] 0pewITE1550: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
0oIFGARD9xE,410,420,[0oIFGARD9xE]-[410-420].wav,ok,
0dPx94RPy2M,30,40,[0dPx94RPy2M]-[30-40].wav,ok,
0q-80dzp6PU,60,70,[0q-80dzp6PU]-[60-70].wav,ok,
0s0Uy0-zBa0,30,40,[0s0Uy0-zBa0]-[30-40].wav,failed,ERROR: [youtube] 0s0Uy0-zBa0: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
0rNr_qnoPQ4,30,40,[0rNr_qnoPQ4]-[30-40].wav,ok,
0sPVAP17w2U,70,80,[0sPVAP17w2U]-[70-80].wav,failed,ERROR: [youtube] 0sPVAP17w2U: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
0fCpAuxrQ_I,380,390,[0fCpAuxrQ_I]-[380-390].wav,ok,
0soVCtJgDTk,5,15,[0soVCtJgDTk]-[5-15].wav,failed,ERROR: [youtube] 0soVCtJgDTk: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
0trWdhSvab4,30,40,[0trWdhSvab4]-[30-40].wav,failed,ERROR: [youtube] 0trWdhSvab4: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
0u5-WiBKam8,50,60,[0u5-WiBKam8]-[50-60].wav,failed,ERROR: [youtube] 0u5-WiBKam8: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
0u4gY1bBUwQ,250,260,[0u4gY1bBUwQ]-[250-260].wav,failed,ERROR: [youtube] 0u4gY1bBUwQ: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
0wYi8B9PXDY,30,40,[0wYi8B9PXDY]-[30-40].wav,failed,ERROR: [youtube] 0wYi8B9PXDY: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
0u1sk49gAU0,20,30,[0u1sk49gAU0]-[20-30].wav,ok,
0vFPs6XsU_Q,30,40,[0vFPs6XsU_Q]-[30-40].wav,failed,ERROR: [youtube] 0vFPs6XsU_Q: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
0wzsE67O5tE,230,240,[0wzsE67O5tE]-[230-240].wav,failed,ERROR: [youtube] 0wzsE67O5tE: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
0zolXzR9Oi4,30,40,[0zolXzR9Oi4]-[30-40].wav,failed,ERROR: [youtube] 0zolXzR9Oi4: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
0x6chChxzV0,30,40,[0x6chChxzV0]-[30-40].wav,failed,ERROR: [youtube] 0x6chChxzV0: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
1-Y9kafYuqQ,100,110,[1-Y9kafYuqQ]-[100-110].wav,failed,ERROR: [youtube] 1-Y9kafYuqQ: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
11D0JdB7_4k,120,130,[11D0JdB7_4k]-[120-130].wav,failed,ERROR: [youtube] 11D0JdB7_4k: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
11FeId69WOk,30,40,[11FeId69WOk]-[30-40].wav,failed,ERROR: [youtube] 11FeId69WOk: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
11fNNN95_og,30,40,[11fNNN95_og]-[30-40].wav,failed,ERROR: [youtube] 11fNNN95_og: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
10dur7jhFQM,30,40,[10dur7jhFQM]-[30-40].wav,failed,ERROR: [youtube] 10dur7jhFQM: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
0SNhAKyXtC8,30,40,[0SNhAKyXtC8]-[30-40].wav,ok,
13n6n6nKMhI,130,140,[13n6n6nKMhI]-[130-140].wav,failed,ERROR: [youtube] 13n6n6nKMhI: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
14hTDUjCr_g,30,40,[14hTDUjCr_g]-[30-40].wav,failed,ERROR: [youtube] 14hTDUjCr_g: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
15Mw2jyyHk0,30,40,[15Mw2jyyHk0]-[30-40].wav,failed,ERROR: [youtube] 15Mw2jyyHk0: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extract
0TiEO149Ydc,30,40,[0TiEO149Ydc]-[30-40].wav,ok,
