ytid,start_s,end_s,category,error
4q6e_ZDFOZI,30,40,age_signin_or_permission,ERROR: [youtube] 4q6e_ZDFOZI: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube
4vWChPYkuwA,70,80,other,ERROR: [youtube] 4vWChPYkuwA: It was blocked due to the claimed content by SME.
4ymXDU-48EE,240,250,age_signin_or_permission,"ERROR: [youtube] 4ymXDU-48EE: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
577NM64YL18,110,120,other,ERROR: [youtube] 577NM64YL18: This video may be inappropriate for some users.
5XXAeSybGK0,30,40,age_signin_or_permission,ERROR: [youtube] 5XXAeSybGK0: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube
5Y_mT93tkvQ,30,40,account_terminated,ERROR: [youtube] 5Y_mT93tkvQ: This video is no longer available because the YouTube account associated with this video has been terminated.
5pIdH6p3kuo,30,40,age_signin_or_permission,ERROR: [youtube] 5pIdH6p3kuo: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube
63rqIYPHvlc,30,40,age_signin_or_permission,"ERROR: [youtube] 63rqIYPHvlc: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
6_zzu2KON6c,80,90,age_signin_or_permission,"ERROR: [youtube] 6_zzu2KON6c: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
73YTz8RC2Fo,30,40,account_terminated,ERROR: [youtube] 73YTz8RC2Fo: This video is no longer available because the YouTube account associated with this video has been terminated.
7EvLwfwRrqA,30,40,unavailable,ERROR: [youtube] 7EvLwfwRrqA: This video is unavailable
7LGLhQFiE0s,30,40,age_signin_or_permission,"ERROR: [youtube] 7LGLhQFiE0s: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
7nrOZXbpXBo,110,120,other,ERROR: [youtube] 7nrOZXbpXBo: It was blocked due to the claimed content by Central Partnership 2.
8FZb_R2UANY,90,100,other,ERROR: [youtube] 8FZb_R2UANY: It was blocked due to the claimed content by SBS(Seoul Broadcasting System).
8Y0FRjkX9xI,100,110,unavailable,ERROR: [youtube] 8Y0FRjkX9xI: This video is unavailable
8ZK1ajW598M,110,120,unavailable,ERROR: [youtube] 8ZK1ajW598M: This video is unavailable
8hT2G2ew6-c,30,40,unavailable,ERROR: [youtube] 8hT2G2ew6-c: This video is unavailable
8olHAhUKkuk,200,210,unavailable,ERROR: [youtube] 8olHAhUKkuk: This video is unavailable
9ZeoYezrI7Q,60,70,age_signin_or_permission,"ERROR: [youtube] 9ZeoYezrI7Q: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
9nVpyqfyBSE,0,10,postprocessing_error,ERROR: Postprocessing: WARNING: unable to obtain file audio codec with ffprobe
A2bI-MIIJfU,30,40,age_signin_or_permission,"ERROR: [youtube] A2bI-MIIJfU: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
AFWy1qyyMHE,30,40,account_terminated,ERROR: [youtube] AFWy1qyyMHE: This video is no longer available because the YouTube account associated with this video has been terminated.
AaUZb-iRStE,80,90,unavailable,ERROR: [youtube] AaUZb-iRStE: This video is unavailable
Ah_aYOGnQ_I,30,40,other,ERROR: [youtube] Ah_aYOGnQ_I: This video has been removed for violating YouTube's Terms of Service
AtJ2RXQ98kY,30,40,unavailable,ERROR: [youtube] AtJ2RXQ98kY: This video is unavailable
B7iRvj8y9aU,30,40,account_terminated,ERROR: [youtube] B7iRvj8y9aU: This video is no longer available because the YouTube account associated with this video has been terminated.
BKQYrrJVg6g,370,380,unavailable,ERROR: [youtube] BKQYrrJVg6g: This video is unavailable
BN63M3_lPCQ,170,180,postprocessing_error,ERROR: Postprocessing: WARNING: unable to obtain file audio codec with ffprobe
BXo1Tr_oJds,30,40,postprocessing_error,ERROR: Postprocessing: WARNING: unable to obtain file audio codec with ffprobe
Bd0PbyrG6H4,30,40,account_terminated,ERROR: [youtube] Bd0PbyrG6H4: This video is no longer available because the YouTube account associated with this video has been terminated.
BeFzozm_H5M,20,30,age_signin_or_permission,"ERROR: [youtube] BeFzozm_H5M: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
BiQik0xsWxk,30,40,account_terminated,ERROR: [youtube] BiQik0xsWxk: This video is no longer available because the YouTube account associated with this video has been terminated.
C6-JxDWYJ-A,70,80,account_terminated,ERROR: [youtube] C6-JxDWYJ-A: This video is no longer available because the YouTube account associated with this video has been terminated.
C7OIuhWSbjU,40,50,unavailable,ERROR: [youtube] C7OIuhWSbjU: This video is unavailable
CCFYOw8keiI,100,110,unavailable,ERROR: [youtube] CCFYOw8keiI: This video is unavailable
CaCjiFUL6Fg,170,180,account_terminated,ERROR: [youtube] CaCjiFUL6Fg: This video is no longer available because the YouTube account associated with this video has been terminated.
CyFsI_EYFQQ,30,40,age_signin_or_permission,"ERROR: [youtube] CyFsI_EYFQQ: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
CyiPyjYX6AE,30,40,postprocessing_error,ERROR: Postprocessing: WARNING: unable to obtain file audio codec with ffprobe
Czbi1u-gwUU,130,140,copyright_removed,ERROR: [youtube] Czbi1u-gwUU: It was removed following a copyright removal request by Cheb Hasni
D8-x1T8M4gk,30,40,unavailable,ERROR: [youtube] D8-x1T8M4gk: This video is unavailable
DGlP6oTqe5Y,30,40,account_terminated,ERROR: [youtube] DGlP6oTqe5Y: This video is no longer available because the YouTube account associated with this video has been terminated.
DHDn79ee98Q,30,40,unavailable,ERROR: [youtube] DHDn79ee98Q: This video is unavailable
DMwvY--3XD0,30,40,age_signin_or_permission,ERROR: [youtube] DMwvY--3XD0: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube
DQzg3cZeYSw,30,40,age_signin_or_permission,ERROR: [youtube] DQzg3cZeYSw: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube
DpS_TigOHWo,180,190,unavailable,ERROR: [youtube] DpS_TigOHWo: This video is unavailable
DysXetu2I0E,30,40,unavailable,ERROR: [youtube] DysXetu2I0E: This video is unavailable
EUmfsCvmkgo,0,10,age_signin_or_permission,ERROR: [youtube] EUmfsCvmkgo: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube
EfUUgsioXyU,70,80,age_signin_or_permission,"ERROR: [youtube] EfUUgsioXyU: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
EhFWLbNBOxc,60,70,unavailable,ERROR: [youtube] EhFWLbNBOxc: This video is unavailable
EsHXnkZ_W2c,40,50,account_terminated,ERROR: [youtube] EsHXnkZ_W2c: This video is no longer available because the YouTube account associated with this video has been terminated.
F3uf_RleI3E,210,220,age_signin_or_permission,"ERROR: [youtube] F3uf_RleI3E: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
FYwDTJtEzhk,0,10,copyright_removed,"ERROR: [youtube] FYwDTJtEzhk: It was removed following a copyright removal request by TOKYO BROADCASTING SYSTEM, INC. の代理人弁護士(TBS's lawyer)"
FscE_AHEmFk,0,10,other,ERROR: [youtube] FscE_AHEmFk: This video is not available
FtskdD6Py7Y,30,40,unavailable,ERROR: [youtube] FtskdD6Py7Y: This video is unavailable
Fv9swdLA-lo,90,100,account_terminated,ERROR: [youtube] Fv9swdLA-lo: This video is no longer available because the YouTube account associated with this video has been terminated.
FxeA9blzUD8,30,40,age_signin_or_permission,ERROR: [youtube] FxeA9blzUD8: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube
GBLKj2d0iC4,30,40,age_signin_or_permission,"ERROR: [youtube] GBLKj2d0iC4: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
GcbCOmNiVm8,0,10,age_signin_or_permission,"ERROR: [youtube] GcbCOmNiVm8: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
HAHn_zB47ig,80,90,age_signin_or_permission,"ERROR: [youtube] HAHn_zB47ig: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
HVA9-fjtv6U,60,70,unavailable,ERROR: [youtube] HVA9-fjtv6U: This video is unavailable
HkCYA4ax4jI,70,80,age_signin_or_permission,ERROR: [youtube] HkCYA4ax4jI: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube
Hob0LAu8afQ,110,120,age_signin_or_permission,"ERROR: [youtube] Hob0LAu8afQ: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
Hvs6Xwc6-gc,30,40,account_terminated,ERROR: [youtube] Hvs6Xwc6-gc: This video is no longer available because the YouTube account associated with this video has been terminated.
I1fcUe9MoMw,120,130,age_signin_or_permission,ERROR: [youtube] I1fcUe9MoMw: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube
IF-77lLlMzE,30,40,account_terminated,ERROR: [youtube] IF-77lLlMzE: This video is no longer available because the YouTube account associated with this video has been terminated.
IbJh1xeBFcI,100,110,unavailable,ERROR: [youtube] IbJh1xeBFcI: This video is unavailable
InfQUMh935c,30,40,unavailable,ERROR: [youtube] InfQUMh935c: This video is unavailable
JDWPJ1AiDKc,30,40,postprocessing_error,ERROR: Postprocessing: WARNING: unable to obtain file audio codec with ffprobe
JL9Xxzf9e2A,30,40,account_terminated,ERROR: [youtube] JL9Xxzf9e2A: This video is no longer available because the YouTube account associated with this video has been terminated.
JNw0A8pRnsQ,30,40,unavailable,ERROR: [youtube] JNw0A8pRnsQ: This video is unavailable
JUrYWttZJBM,30,40,age_signin_or_permission,"ERROR: [youtube] JUrYWttZJBM: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
Jk2mvFrdZTU,20,30,copyright_removed,ERROR: [youtube] Jk2mvFrdZTU: It was removed following a copyright removal request by Abderrahim Sefiani
Js_3Aa214xY,30,40,account_terminated,ERROR: [youtube] Js_3Aa214xY: This video is no longer available because the YouTube account associated with this video has been terminated.
KCytKo5LzCc,30,40,age_signin_or_permission,ERROR: [youtube] KCytKo5LzCc: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube
KZ8gBHLNmH0,110,120,copyright_removed,ERROR: [youtube] KZ8gBHLNmH0: It was removed following a copyright removal request by Jose Braat
KfAq7kxHjPk,130,140,age_signin_or_permission,ERROR: [youtube] KfAq7kxHjPk: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube
KfLxBjl-aBU,0,10,unavailable,ERROR: [youtube] KfLxBjl-aBU: This video is unavailable
KikHXfUanJk,0,10,account_terminated,ERROR: [youtube] KikHXfUanJk: This video is no longer available because the YouTube account associated with this video has been terminated.
L5Uu_0xEZg4,80,90,unavailable,ERROR: [youtube] L5Uu_0xEZg4: This video is unavailable
LCMQXFKMLIM,110,120,age_signin_or_permission,"ERROR: [youtube] LCMQXFKMLIM: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
LRfVQsnaVQE,30,40,account_terminated,ERROR: [youtube] LRfVQsnaVQE: This video is no longer available because the YouTube account associated with this video has been terminated.
MP7KPlqoQW0,30,40,account_terminated,ERROR: [youtube] MP7KPlqoQW0: This video is no longer available because the YouTube account associated with this video has been terminated.
MROotmz8a-U,180,190,unavailable,ERROR: [youtube] MROotmz8a-U: This video is unavailable
MYtq46rNsCA,30,40,account_terminated,ERROR: [youtube] MYtq46rNsCA: This video is no longer available because the YouTube account associated with this video has been terminated.
MdsRmMxkF4k,50,60,account_terminated,ERROR: [youtube] MdsRmMxkF4k: This video is no longer available because the YouTube account associated with this video has been terminated.
Mp1MHSeHa0o,0,10,account_terminated,ERROR: [youtube] Mp1MHSeHa0o: This video is no longer available because the YouTube account associated with this video has been terminated.
NC5tIv4-8fg,130,140,age_signin_or_permission,"ERROR: [youtube] NC5tIv4-8fg: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
NIcsJ8sEd0M,30,40,unavailable,ERROR: [youtube] NIcsJ8sEd0M: This video is unavailable
NXuB3ZEpM5U,30,40,age_signin_or_permission,"ERROR: [youtube] NXuB3ZEpM5U: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
NZYDLDIyZr8,260,270,unavailable,ERROR: [youtube] NZYDLDIyZr8: This video is unavailable
NgniX3tg_Mo,50,60,unavailable,ERROR: [youtube] NgniX3tg_Mo: This video is unavailable
OO1Q-3kXCtM,10,20,age_signin_or_permission,"ERROR: [youtube] OO1Q-3kXCtM: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
OS4YFp3DiEE,250,260,account_terminated,ERROR: [youtube] OS4YFp3DiEE: This video is no longer available because the YouTube account associated with this video has been terminated.
OoRUo92emGo,10,20,age_signin_or_permission,"ERROR: [youtube] OoRUo92emGo: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
PTCsH-ffeq4,380,390,unavailable,ERROR: [youtube] PTCsH-ffeq4: This video is unavailable
PfO7ZVdzfZ4,150,160,account_terminated,ERROR: [youtube] PfO7ZVdzfZ4: This video is no longer available because the YouTube account associated with this video has been terminated.
PmiH7RnCkhI,10,20,unavailable,ERROR: [youtube] PmiH7RnCkhI: This video is unavailable
QBMM1ocXkhY,30,40,age_signin_or_permission,ERROR: [youtube] QBMM1ocXkhY: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube
QRKc90kuAaE,560,570,unavailable,ERROR: [youtube] QRKc90kuAaE: This video is unavailable
QzO6ylLrTGg,30,40,age_signin_or_permission,"ERROR: [youtube] QzO6ylLrTGg: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
RQ0-sjpAPKU,30,40,age_signin_or_permission,"ERROR: [youtube] RQ0-sjpAPKU: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
Rqv5fu1PCXA,30,40,account_terminated,ERROR: [youtube] Rqv5fu1PCXA: This video is no longer available because the YouTube account associated with this video has been terminated.
RxBFh-zdid4,30,40,age_signin_or_permission,"ERROR: [youtube] RxBFh-zdid4: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
SGFYFPs3Fic,550,560,unavailable,ERROR: [youtube] SGFYFPs3Fic: This video is unavailable
SJ9TY-iqD9Q,10,20,age_signin_or_permission,ERROR: [youtube] SJ9TY-iqD9Q: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube
SLq-Co_szYo,30,40,age_signin_or_permission,"ERROR: [youtube] SLq-Co_szYo: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
T6iv9GFIVyU,50,60,copyright_removed,ERROR: [youtube] T6iv9GFIVyU: It was removed following a copyright removal request by Rishad Zahir
T7bG4kIEw-M,160,170,age_signin_or_permission,"ERROR: [youtube] T7bG4kIEw-M: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
TFLt7mn57ZI,0,10,unavailable,ERROR: [youtube] TFLt7mn57ZI: This video is unavailable
TqIptTnXb20,100,110,copyright_removed,ERROR: [youtube] TqIptTnXb20: It was removed following a copyright removal request by Vipassana Research Institute
TworrkXAPuI,180,190,age_signin_or_permission,"ERROR: [youtube] TworrkXAPuI: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
ULXbXpLcoVA,30,40,unavailable,ERROR: [youtube] ULXbXpLcoVA: This video is unavailable
UOC4VWQpnDM,110,120,other,ERROR: [youtube] UOC4VWQpnDM: It was blocked due to the claimed content by AltraModaMusic.
UdA6I_tXVHE,6,16,account_terminated,ERROR: [youtube] UdA6I_tXVHE: This video is no longer available because the YouTube account associated with this video has been terminated.
UinQGYfmZhE,120,130,unavailable,ERROR: [youtube] UinQGYfmZhE: This video is unavailable
